0	gdsc_a375
1	gdsc_hcc1937
2	gdsc_hcc1806
3	gdsc_cama-1
4	gdsc_nci-h1793
5	gdsc_a549
6	gdsc_sr
7	gdsc_mda-mb-468
8	gdsc_ht-1376
9	gdsc_ist-mel1
10	gdsc_hct-15
11	gdsc_ovcar-4
12	gdsc_ccrf-cem
13	gdsc_sw48
14	gdsc_uacc-257
15	gdsc_sk-ov-3
16	gdsc_cal-51
17	gdsc_rt-112
18	gdsc_sw837
19	gdsc_bftc-905
20	gdsc_sk-mel-2
21	gdsc_ku-19-19
22	gdsc_786-0
23	gdsc_l-428
24	gdsc_hcc1143
25	gdsc_ekvx
26	gdsc_nci-h460
27	gdsc_mda-mb-453
28	gdsc_hcc38
29	gdsc_hdlm-2
30	gdsc_cal-148
31	gdsc_hop-62
32	gdsc_u251
33	gdsc_cal-120
34	gdsc_m14
35	gdsc_sk-mel-28
36	gdsc_nci-h1299
37	gdsc_calu-3
38	gdsc_lovo
39	gdsc_du-145
40	gdsc_hcc1187
41	gdsc_nci-h522
42	gdsc_nci-h226
43	gdsc_hcc1419
44	gdsc_sw780
45	gdsc_tccsup
46	gdsc_uacc-812
47	gdsc_a101d
48	gdsc_hop-92
49	gdsc_mfm-223
50	gdsc_nci-h2291
51	gdsc_a498
52	gdsc_sw900
53	gdsc_mmac-sf
54	gdsc_mda-mb-361
55	gdsc_achn
56	gdsc_nci-h358
57	gdsc_sn12c
58	gdsc_a2780
59	gdsc_huh-7
60	gdsc_ovcar-8
61	gdsc_ht-1197
62	gdsc_a2058
63	gdsc_rko
64	gdsc_bt-549
65	gdsc_nci-h2170
66	gdsc_lb2518-mel
67	gdsc_ovcar-5
68	gdsc_caki-1
69	gdsc_mda-mb-231
70	gdsc_calu-6
71	gdsc_nci-h1703
72	gdsc_ags
73	gdsc_molt-4
74	gdsc_sw948
75	gdsc_hcc70
76	gdsc_rvh-421
77	gdsc_rd
78	gdsc_mewo
79	gdsc_pc-3
80	gdsc_nci-h1975
81	gdsc_nci-h2126
82	gdsc_j82
83	gdsc_g-361
84	gdsc_t98g
85	gdsc_nci-h1437
86	gdsc_bt-20
87	gdsc_nci-h1563
88	gdsc_nci-h2228
89	gdsc_hcc1395
90	gdsc_vm-cub-1
91	gdsc_a427
92	gdsc_rpmi-8226
93	gdsc_km12
94	gdsc_mda-mb-157
95	gdsc_mda-mb-175-vii
96	gdsc_nci-h838
97	gdsc_um-uc-3
98	gdsc_ipc-298
99	gdsc_mcf7
100	gdsc_sk-mel-5
101	gdsc_nci-h747
